Churn,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaymentMethod,Monthly,Total,Cuentas_Diarias
No,0,Yes,Yes,9,DSL,No,Yes,No,Yes,One year,Mailed check,65.6,593.3,2.187
No,0,No,No,9,DSL,No,No,No,No,Month-to-month,Mailed check,59.9,542.4,1.997
Yes,0,No,No,4,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,73.9,280.85,2.463
Yes,1,Yes,No,13,Fiber optic,No,Yes,Yes,No,Month-to-month,Electronic check,98.0,1237.85,3.267
Yes,1,Yes,No,3,Fiber optic,No,No,No,Yes,Month-to-month,Mailed check,83.9,267.4,2.797
No,0,No,Yes,9,DSL,No,No,No,Yes,Month-to-month,Credit card (automatic),69.4,571.45,2.313
No,1,Yes,No,71,Fiber optic,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),109.7,7904.25,3.657
No,0,Yes,No,63,Fiber optic,Yes,No,No,Yes,Two year,Credit card (automatic),84.65,5377.8,2.822
No,1,No,No,7,DSL,Yes,No,No,No,Month-to-month,Electronic check,48.2,340.35,1.607
No,0,Yes,Yes,65,DSL,Yes,Yes,Yes,Yes,Two year,Mailed check,90.45,5957.9,3.015
No,0,No,No,54,DSL,Yes,No,No,Yes,Two year,Credit card (automatic),45.2,2460.55,1.507
No,0,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),116.8,8456.75,3.893
No,0,Yes,No,5,Fiber optic,No,No,No,No,Month-to-month,Electronic check,68.95,351.5,2.298
No,0,No,No,72,Fiber optic,Yes,Yes,Yes,No,Two year,Bank transfer (automatic),101.3,7261.25,3.377
No,0,No,No,56,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),45.05,2560.1,1.502
No,0,Yes,Yes,71,Fiber optic,No,Yes,Yes,No,Two year,Credit card (automatic),95.75,6849.4,3.192
No,0,Yes,Yes,34,DSL,Yes,No,Yes,Yes,One year,Mailed check,61.25,1993.2,2.042
No,1,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Electronic check,72.1,72.1,2.403
Yes,1,No,No,45,DSL,Yes,No,Yes,No,One year,Credit card (automatic),62.7,2791.5,2.09
Yes,1,No,No,1,DSL,No,No,No,No,Month-to-month,Electronic check,25.1,25.1,0.837
No,1,Yes,No,50,No,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,25.2,1306.3,0.84
Yes,0,Yes,No,13,Fiber optic,No,Yes,Yes,No,Month-to-month,Electronic check,94.1,1215.6,3.137
No,0,Yes,Yes,23,Fiber optic,No,No,No,No,Month-to-month,Electronic check,83.75,1849.95,2.792
No,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.85,57.2,0.662
Yes,0,Yes,Yes,4,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.35,76.35,0.678
Yes,0,Yes,Yes,1,DSL,Yes,No,No,No,Month-to-month,Bank transfer (automatic),30.5,30.5,1.017
No,0,Yes,Yes,55,Fiber optic,No,Yes,Yes,Yes,One year,Bank transfer (automatic),103.7,5656.75,3.457
No,0,Yes,Yes,54,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),20.4,1090.6,0.68
No,0,No,No,26,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),19.6,471.85,0.653
No,0,Yes,Yes,69,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.7,1396.9,0.657
No,0,Yes,Yes,37,Fiber optic,No,No,No,No,One year,Credit card (automatic),91.2,3247.55,3.04
No,0,Yes,No,49,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),20.45,900.9,0.682
No,0,Yes,No,66,Fiber optic,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),115.8,7942.15,3.86
No,0,No,No,67,No,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,20.55,1343.4,0.685
No,0,Yes,Yes,20,DSL,Yes,No,Yes,Yes,Two year,Credit card (automatic),39.4,825.4,1.313
No,0,No,Yes,43,No,No internet service,No internet service,No internet service,No internet service,Two year,Electronic check,25.1,1070.15,0.837
No,0,Yes,No,55,Fiber optic,Yes,No,No,No,Month-to-month,Bank transfer (automatic),89.8,4959.6,2.993
No,0,Yes,No,59,Fiber optic,Yes,Yes,No,No,Month-to-month,Electronic check,94.75,5597.65,3.158
No,0,Yes,Yes,12,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.3,224.5,0.677
No,0,Yes,Yes,27,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),75.75,1929.0,2.525
Yes,1,No,No,2,DSL,Yes,No,No,No,Month-to-month,Electronic check,49.25,91.1,1.642
No,0,No,No,27,DSL,No,Yes,Yes,Yes,One year,Mailed check,78.2,2078.95,2.607
No,0,Yes,Yes,25,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),25.5,630.6,0.85
No,0,Yes,Yes,25,DSL,Yes,Yes,Yes,No,One year,Bank transfer (automatic),61.6,1611.0,2.053
No,0,No,Yes,29,DSL,Yes,Yes,Yes,Yes,Month-to-month,Mailed check,45.0,1242.45,1.5
No,0,Yes,No,72,DSL,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),85.15,6316.2,2.838
No,0,No,No,14,DSL,No,Yes,No,No,One year,Credit card (automatic),51.45,727.85,1.715
No,0,No,No,35,Fiber optic,No,No,Yes,Yes,One year,Electronic check,99.25,3532.0,3.308
No,0,No,No,1,DSL,No,No,No,No,Month-to-month,Mailed check,44.3,44.3,1.477
No,0,No,No,29,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,94.2,2607.6,3.14
No,0,No,No,64,DSL,Yes,Yes,Yes,Yes,One year,Electronic check,81.25,5567.55,2.708
